# <<< CITRIC ACID >>>
# 10x3FoldCV mean score: 0.22358901669508696 
# count common features: 18
count	GO ID	GO Term	namespace
2	GO:0009686	gibberellin biosynthetic process	biological_process
2	GO:0009826	unidimensional cell growth	biological_process
2	GO:0048235	pollen sperm cell differentiation	biological_process
2	GO:0055085	transmembrane transport	biological_process
1	GO:0009750	response to fructose	biological_process
1	GO:0090333	regulation of stomatal closure	biological_process
1	GO:0010182	sugar mediated signaling pathway	biological_process
1	GO:0007254	JNK cascade	biological_process
1	GO:0042733	embryonic digit morphogenesis	biological_process
1	GO:0001666	response to hypoxia	biological_process
1	GO:2000035	regulation of stem cell division	biological_process
1	GO:1904291	positive regulation of mitotic DNA damage checkpoint	biological_process
1	GO:0036289	peptidyl-serine autophosphorylation	biological_process
1	GO:0038066	p38MAPK cascade	biological_process
1	GO:1900424	regulation of defense response to bacterium	biological_process
1	GO:0071480	cellular response to gamma radiation	biological_process
1	GO:0097696	receptor signaling pathway via STAT	biological_process
1	GO:0071244	cellular response to carbon dioxide	biological_process
1	GO:0010105	negative regulation of ethylene-activated signaling pathway	biological_process
1	GO:0050765	negative regulation of phagocytosis	biological_process
1	GO:1900150	regulation of defense response to fungus	biological_process
1	GO:0009651	response to salt stress	biological_process
1	GO:0009658	chloroplast organization	biological_process
1	GO:0009414	response to water deprivation	biological_process
1	GO:0006935	chemotaxis	biological_process
1	GO:0001845	phagolysosome assembly	biological_process
1	GO:0050829	defense response to Gram-negative bacterium	biological_process
1	GO:2000031	regulation of salicylic acid mediated signaling pathway	biological_process
1	GO:2000030	regulation of response to red or far red light	biological_process
1	GO:0009744	response to sucrose	biological_process
1	GO:0009788	negative regulation of abscisic acid-activated signaling pathway	biological_process
1	GO:0002229	defense response to oomycetes	biological_process
1	GO:0048510	regulation of timing of transition from vegetative to reproductive phase	biological_process
1	GO:0051593	response to folic acid	biological_process
1	GO:0043065	positive regulation of apoptotic process	biological_process
1	GO:2000146	negative regulation of cell motility	biological_process
1	GO:2000069	regulation of post-embryonic root development	biological_process
1	GO:0030036	actin cytoskeleton organization	biological_process
1	GO:0030435	sporulation resulting in formation of a cellular spore	biological_process
1	GO:0000963	mitochondrial RNA processing	biological_process
1	GO:0010214	seed coat development	biological_process
1	GO:0016554	cytidine to uridine editing	biological_process
1	GO:0031425	chloroplast RNA processing	biological_process
1	GO:0031426	polycistronic mRNA processing	biological_process
1	GO:0080156	mitochondrial mRNA modification	biological_process
1	GO:0140547	acquisition of seed longevity	biological_process
1	GO:1900865	chloroplast RNA modification	biological_process
1	GO:0000012	single strand break repair	biological_process
1	GO:0006260	DNA replication	biological_process
1	GO:0006302	double-strand break repair	biological_process
1	GO:0006357	regulation of transcription by RNA polymerase II	biological_process
1	GO:0006783	heme biosynthetic process	biological_process
1	GO:0006790	sulfur compound metabolic process	biological_process
1	GO:0009150	purine ribonucleotide metabolic process	biological_process
1	GO:0009585	red, far-red light phototransduction	biological_process
1	GO:0009704	de-etiolation	biological_process
1	GO:0009733	response to auxin	biological_process
1	GO:0009740	gibberellic acid mediated signaling pathway	biological_process
1	GO:0009959	negative gravitropism	biological_process
1	GO:0010100	negative regulation of photomorphogenesis	biological_process
1	GO:0010161	red light signaling pathway	biological_process
1	GO:0010187	negative regulation of seed germination	biological_process
1	GO:0010197	polar nucleus fusion	biological_process
1	GO:0015995	chlorophyll biosynthetic process	biological_process
1	GO:0031539	positive regulation of anthocyanin metabolic process	biological_process
1	GO:0042548	regulation of photosynthesis, light reaction	biological_process
1	GO:0045893	positive regulation of DNA-templated transcription	biological_process
1	GO:0048586	regulation of long-day photoperiodism, flowering	biological_process
1	GO:0048587	regulation of short-day photoperiodism, flowering	biological_process
1	GO:0048766	root hair initiation	biological_process
1	GO:0048767	root hair elongation	biological_process
1	GO:0080113	regulation of seed growth	biological_process
1	GO:0090229	negative regulation of red or far-red light signaling pathway	biological_process
1	GO:0090305	N/A	N/A
1	GO:1905421	regulation of plant organ morphogenesis	biological_process
1	GO:1990785	response to water-immersion restraint stress	biological_process
1	GO:2000032	regulation of secondary shoot formation	biological_process
1	GO:0006534	cysteine metabolic process	biological_process
1	GO:0010269	response to selenium ion	biological_process
1	GO:0006833	water transport	biological_process
1	GO:0007033	vacuole organization	biological_process
1	GO:0015840	urea transport	biological_process
1	GO:0048366	leaf development	biological_process
1	GO:0016579	protein deubiquitination	biological_process
1	GO:0031647	regulation of protein stability	biological_process
1	GO:0010506	regulation of autophagy	biological_process
1	GO:0006613	cotranslational protein targeting to membrane	biological_process
1	GO:0007409	axonogenesis	biological_process
1	GO:0045047	protein targeting to ER	biological_process
1	GO:0050708	regulation of protein secretion	biological_process
1	GO:0016573	histone acetylation	biological_process
1	GO:0000226	microtubule cytoskeleton organization	biological_process
1	GO:0009561	megagametogenesis	biological_process
1	GO:0055046	microgametogenesis	biological_process
1	GO:0008202	steroid metabolic process	biological_process
1	GO:0048316	seed development	biological_process
1	GO:1901564	organonitrogen compound metabolic process	biological_process
1	GO:0048519	negative regulation of biological process	biological_process
1	GO:0051641	cellular localization	biological_process
1	GO:0097006	regulation of plasma lipoprotein particle levels	biological_process
