GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0055062,4,4,phosphate ion homeostasis,2,26,2,30522,e,1.0977977937783425e-05
GO:0005975,3,3,carbohydrate metabolic process,2,26,2,30522,e,1.0977977937783425e-05
GO:0051240,4,4,positive regulation of multicellular organismal process,2,26,2,30522,e,1.0977977937783425e-05
GO:0048766,4,4,root hair initiation,2,26,2,30522,e,1.0977977937783425e-05
GO:0010154,4,4,fruit development,1,26,1,30522,e,0.000851844571169662
GO:2000114,5,5,regulation of establishment of cell polarity,1,26,1,30522,e,0.000851844571169662
GO:0036180,3,4,filamentous growth of a population of unicellular organisms in response to biotic stimulus,1,26,1,30522,e,0.000851844571169662
GO:0050832,4,6,defense response to fungus,1,26,1,30522,e,0.000851844571169662
GO:0048574,3,7,"long-day photoperiodism, flowering",1,26,1,30522,e,0.000851844571169662
GO:0009734,4,6,auxin-activated signaling pathway,1,26,1,30522,e,0.000851844571169662
GO:0002239,3,5,response to oomycetes,1,26,1,30522,e,0.000851844571169662
GO:0048488,5,7,synaptic vesicle endocytosis,1,26,1,30522,e,0.000851844571169662
GO:0016311,5,5,dephosphorylation,1,26,1,30522,e,0.000851844571169662
GO:0016043,3,3,cellular component organization,1,26,1,30522,e,0.000851844571169662
GO:0007616,5,7,long-term memory,1,26,1,30522,e,0.000851844571169662
GO:0046856,6,8,phosphatidylinositol dephosphorylation,1,26,1,30522,e,0.000851844571169662
GO:0051174,5,5,regulation of phosphorus metabolic process,1,26,1,30522,e,0.000851844571169662
GO:0080186,3,3,developmental vegetative growth,1,26,1,30522,e,0.000851844571169662
GO:0006487,5,7,protein N-linked glycosylation,1,26,1,30522,e,0.000851844571169662
GO:0055085,2,4,transmembrane transport,1,26,1,30522,e,0.000851844571169662
GO:0010067,5,7,procambium histogenesis,1,26,1,30522,e,0.000851844571169662
GO:0045944,9,10,positive regulation of transcription by RNA polymerase II,1,26,1,30522,e,0.000851844571169662
GO:0006096,4,12,glycolytic process,1,26,1,30522,e,0.000851844571169662
GO:0009617,3,5,response to bacterium,1,26,1,30522,e,0.000851844571169662
GO:0030097,4,4,hemopoiesis,1,26,1,30522,e,0.000851844571169662
GO:0008286,6,8,insulin receptor signaling pathway,1,26,1,30522,e,0.000851844571169662
GO:0048767,4,4,root hair elongation,1,26,1,30522,e,0.000851844571169662
GO:0001666,3,5,response to hypoxia,1,26,1,30522,e,0.000851844571169662
GO:0070417,4,5,cellular response to cold,1,26,1,30522,e,0.000851844571169662
GO:0015783,5,8,GDP-fucose transmembrane transport,1,26,1,30522,e,0.000851844571169662
