GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0005634,5,5,nucleus,5,26,5,30522,e,3.517503015476996e-14
GO:0016020,2,2,membrane,4,26,4,30522,e,2.4397081141915904e-11
GO:0005886,3,3,plasma membrane,4,26,4,30522,e,2.4397081141915904e-11
GO:0005794,5,5,Golgi apparatus,3,26,3,30522,e,1.84987458238477e-08
GO:0005576,2,2,extracellular region,3,26,3,30522,e,1.84987458238477e-08
GO:0005737,2,2,cytoplasm,3,26,3,30522,e,1.84987458238477e-08
GO:0005773,5,5,vacuole,2,26,2,30522,e,1.0977977937783425e-05
GO:0005829,2,2,cytosol,2,26,2,30522,e,1.0977977937783425e-05
GO:0005654,2,2,nucleoplasm,2,26,2,30522,e,1.0977977937783425e-05
GO:0045202,3,3,synapse,2,26,2,30522,e,1.0977977937783425e-05
GO:0009925,4,4,basal plasma membrane,1,26,1,30522,e,0.000851844571169662
GO:0005740,4,4,mitochondrial envelope,1,26,1,30522,e,0.000851844571169662
GO:0090406,4,4,pollen tube,1,26,1,30522,e,0.000851844571169662
GO:1990246,4,7,uniplex complex,1,26,1,30522,e,0.000851844571169662
GO:0005946,4,4,"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)",1,26,1,30522,e,0.000851844571169662
GO:0005811,5,5,lipid droplet,1,26,1,30522,e,0.000851844571169662
GO:0009986,2,2,cell surface,1,26,1,30522,e,0.000851844571169662
GO:0005765,7,7,lysosomal membrane,1,26,1,30522,e,0.000851844571169662
GO:0016514,4,5,SWI/SNF complex,1,26,1,30522,e,0.000851844571169662
GO:0042470,8,8,melanosome,1,26,1,30522,e,0.000851844571169662
GO:0005615,2,2,extracellular space,1,26,1,30522,e,0.000851844571169662
GO:0005768,7,7,endosome,1,26,1,30522,e,0.000851844571169662
GO:0005747,4,6,mitochondrial respiratory chain complex I,1,26,1,30522,e,0.000851844571169662
GO:0009505,4,4,plant-type cell wall,1,26,1,30522,e,0.000851844571169662
GO:0043231,4,4,intracellular membrane-bounded organelle,1,26,1,30522,e,0.000851844571169662
GO:0098827,3,3,endoplasmic reticulum subcompartment,1,26,1,30522,e,0.000851844571169662
GO:0005770,8,8,late endosome,1,26,1,30522,e,0.000851844571169662
GO:0000139,5,5,Golgi membrane,1,26,1,30522,e,0.000851844571169662
GO:0005783,5,5,endoplasmic reticulum,1,26,1,30522,e,0.000851844571169662
GO:0043005,4,4,neuron projection,1,26,1,30522,e,0.000851844571169662
GO:0010008,5,6,endosome membrane,1,26,1,30522,e,0.000851844571169662
GO:0005789,4,4,endoplasmic reticulum membrane,1,26,1,30522,e,0.000851844571169662
GO:0071564,4,5,npBAF complex,1,26,1,30522,e,0.000851844571169662
GO:0005856,5,5,cytoskeleton,1,26,1,30522,e,0.000851844571169662
GO:0001741,7,7,XY body,1,26,1,30522,e,0.000851844571169662
GO:0009941,5,5,chloroplast envelope,1,26,1,30522,e,0.000851844571169662
GO:0009507,6,6,chloroplast,1,26,1,30522,e,0.000851844571169662
GO:0071565,4,5,nBAF complex,1,26,1,30522,e,0.000851844571169662
