GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0042802,3,3,identical protein binding,1,8,1,30522,e,0.00026210602189835673
GO:0043130,4,4,ubiquitin binding,1,8,1,30522,e,0.00026210602189835673
GO:0032266,6,6,phosphatidylinositol-3-phosphate binding,1,8,1,30522,e,0.00026210602189835673
GO:0046982,4,4,protein heterodimerization activity,1,8,1,30522,e,0.00026210602189835673
GO:0051213,3,3,dioxygenase activity,1,8,1,30522,e,0.00026210602189835673
GO:0019904,3,3,protein domain specific binding,1,8,1,30522,e,0.00026210602189835673
GO:0046872,4,4,metal ion binding,1,8,1,30522,e,0.00026210602189835673
GO:0044389,4,4,ubiquitin-like protein ligase binding,1,8,1,30522,e,0.00026210602189835673
GO:0031418,3,5,L-ascorbic acid binding,1,8,1,30522,e,0.00026210602189835673
GO:0004252,5,5,serine-type endopeptidase activity,1,8,1,30522,e,0.00026210602189835673
GO:0016791,5,5,phosphatase activity,1,8,1,30522,e,0.00026210602189835673
GO:0140036,5,5,ubiquitin-dependent protein binding,1,8,1,30522,e,0.00026210602189835673
GO:0009815,5,5,1-aminocyclopropane-1-carboxylate oxidase activity,1,8,1,30522,e,0.00026210602189835673
