GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0005886,3,3,plasma membrane,4,9,4,30522,e,4.739735643646886e-13
GO:0016020,2,2,membrane,2,9,2,30522,e,1.0511378093230971e-06
GO:0005737,2,2,cytoplasm,2,9,2,30522,e,1.0511378093230971e-06
GO:0009531,5,5,secondary cell wall,1,9,1,30522,e,0.0002948692746356525
GO:0005802,4,4,trans-Golgi network,1,9,1,30522,e,0.0002948692746356525
GO:0005773,5,5,vacuole,1,9,1,30522,e,0.0002948692746356525
GO:0000123,4,6,histone acetyltransferase complex,1,9,1,30522,e,0.0002948692746356525
GO:0005911,4,4,cell-cell junction,1,9,1,30522,e,0.0002948692746356525
GO:0005768,7,7,endosome,1,9,1,30522,e,0.0002948692746356525
GO:0031966,4,4,mitochondrial membrane,1,9,1,30522,e,0.0002948692746356525
GO:0009579,5,5,thylakoid,1,9,1,30522,e,0.0002948692746356525
GO:0009507,6,6,chloroplast,1,9,1,30522,e,0.0002948692746356525
GO:0043232,4,4,intracellular non-membrane-bounded organelle,1,9,1,30522,e,0.0002948692746356525
GO:0000839,5,8,Hrd1p ubiquitin ligase ERAD-L complex,1,9,1,30522,e,0.0002948692746356525
GO:0012505,2,2,endomembrane system,1,9,1,30522,e,0.0002948692746356525
GO:0009706,6,6,chloroplast inner membrane,1,9,1,30522,e,0.0002948692746356525
GO:0005634,5,5,nucleus,1,9,1,30522,e,0.0002948692746356525
