GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0005886,3,3,plasma membrane,3,15,3,457830,e,1.1284399632841226e-12
GO:0005829,2,2,cytosol,2,15,2,457830,e,8.515902392033725e-09
GO:0009570,3,3,chloroplast stroma,1,15,1,457830,e,3.2763252727074394e-05
GO:0005576,2,2,extracellular region,1,15,1,457830,e,3.2763252727074394e-05
GO:0005777,6,6,peroxisome,1,15,1,457830,e,3.2763252727074394e-05
GO:0033061,2,2,DNA recombinase mediator complex,1,15,1,457830,e,3.2763252727074394e-05
GO:0016020,2,2,membrane,1,15,1,457830,e,3.2763252727074394e-05
GO:0042788,6,6,polysomal ribosome,1,15,1,457830,e,3.2763252727074394e-05
GO:0140513,2,2,nuclear protein-containing complex,1,15,1,457830,e,3.2763252727074394e-05
GO:0014069,4,4,postsynaptic density,1,15,1,457830,e,3.2763252727074394e-05
GO:0005654,2,2,nucleoplasm,1,15,1,457830,e,3.2763252727074394e-05
GO:0005795,4,4,Golgi stack,1,15,1,457830,e,3.2763252727074394e-05
GO:0098556,5,5,cytoplasmic side of rough endoplasmic reticulum membrane,1,15,1,457830,e,3.2763252727074394e-05
GO:0005783,5,5,endoplasmic reticulum,1,15,1,457830,e,3.2763252727074394e-05
GO:0005739,5,5,mitochondrion,1,15,1,457830,e,3.2763252727074394e-05
GO:0005770,8,8,late endosome,1,15,1,457830,e,3.2763252727074394e-05
GO:0098807,3,3,chloroplast thylakoid membrane protein complex,1,15,1,457830,e,3.2763252727074394e-05
GO:0043232,4,4,intracellular non-membrane-bounded organelle,1,15,1,457830,e,3.2763252727074394e-05
GO:0010008,5,6,endosome membrane,1,15,1,457830,e,3.2763252727074394e-05
GO:0009941,5,5,chloroplast envelope,1,15,1,457830,e,3.2763252727074394e-05
GO:0005694,5,5,chromosome,1,15,1,457830,e,3.2763252727074394e-05
GO:0005771,9,9,multivesicular body,1,15,1,457830,e,3.2763252727074394e-05
GO:0022625,5,5,cytosolic large ribosomal subunit,1,15,1,457830,e,3.2763252727074394e-05
GO:0005634,5,5,nucleus,1,15,1,457830,e,3.2763252727074394e-05
