GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0009414,3,5,response to water deprivation,4,32,4,30522,e,6.067282048598255e-11
GO:0015031,4,6,protein transport,2,32,2,30522,e,8.959664626684627e-06
GO:0080156,7,9,mitochondrial mRNA modification,2,32,2,30522,e,8.959664626684627e-06
GO:0009737,4,5,response to abscisic acid,2,32,2,30522,e,8.959664626684627e-06
GO:0009651,4,4,response to salt stress,2,32,2,30522,e,8.959664626684627e-06
GO:0050794,3,3,regulation of cellular process,2,32,2,30522,e,8.959664626684627e-06
GO:0016310,5,5,phosphorylation,2,32,2,30522,e,8.959664626684627e-06
GO:0031425,7,8,chloroplast RNA processing,2,32,2,30522,e,8.959664626684627e-06
GO:0009409,3,4,response to cold,2,32,2,30522,e,8.959664626684627e-06
GO:1900865,6,8,chloroplast RNA modification,2,32,2,30522,e,8.959664626684627e-06
GO:0010970,4,6,transport along microtubule,2,32,2,30522,e,8.959664626684627e-06
GO:0010228,3,3,vegetative to reproductive phase transition of meristem,2,32,2,30522,e,8.959664626684627e-06
GO:0009658,6,6,chloroplast organization,1,32,1,30522,e,0.0010484240875934308
GO:2000214,7,8,regulation of proline metabolic process,1,32,1,30522,e,0.0010484240875934308
GO:0008380,7,8,RNA splicing,1,32,1,30522,e,0.0010484240875934308
GO:0010077,4,5,maintenance of inflorescence meristem identity,1,32,1,30522,e,0.0010484240875934308
GO:0007380,4,4,"specification of segmental identity, head",1,32,1,30522,e,0.0010484240875934308
GO:0006511,7,8,ubiquitin-dependent protein catabolic process,1,32,1,30522,e,0.0010484240875934308
GO:0045892,8,9,negative regulation of DNA-templated transcription,1,32,1,30522,e,0.0010484240875934308
GO:0051707,2,4,response to other organism,1,32,1,30522,e,0.0010484240875934308
GO:0008104,4,4,protein localization,1,32,1,30522,e,0.0010484240875934308
GO:0045931,6,6,positive regulation of mitotic cell cycle,1,32,1,30522,e,0.0010484240875934308
GO:1903047,3,3,mitotic cell cycle process,1,32,1,30522,e,0.0010484240875934308
GO:0043447,4,5,alkane biosynthetic process,1,32,1,30522,e,0.0010484240875934308
GO:0010182,4,6,sugar mediated signaling pathway,1,32,1,30522,e,0.0010484240875934308
GO:0016554,7,9,cytidine to uridine editing,1,32,1,30522,e,0.0010484240875934308
GO:0048653,3,3,anther development,1,32,1,30522,e,0.0010484240875934308
