GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0005515,2,2,protein binding,10,32,10,976704,e,7.230782973673732e-44
GO:0000166,4,4,nucleotide binding,3,32,3,976704,e,9.741934394826268e-13
GO:0003729,5,5,mRNA binding,3,32,3,976704,e,9.741934394826268e-13
GO:0008270,6,6,zinc ion binding,2,32,2,976704,e,8.749394768055284e-09
GO:0005524,5,8,ATP binding,2,32,2,976704,e,8.749394768055284e-09
GO:0016887,7,7,ATP hydrolysis activity,2,32,2,976704,e,8.749394768055284e-09
GO:0000978,7,9,RNA polymerase II cis-regulatory region sequence-specific DNA binding,2,32,2,976704,e,8.749394768055284e-09
GO:0047274,6,6,galactinol-sucrose galactosyltransferase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0003713,3,3,transcription coactivator activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0005509,5,5,calcium ion binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0016787,2,2,hydrolase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0046872,4,4,metal ion binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0043565,5,5,sequence-specific DNA binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0004842,4,6,ubiquitin-protein transferase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0015171,5,5,amino acid transmembrane transporter activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0000822,4,4,inositol hexakisphosphate binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0016920,5,5,pyroglutamyl-peptidase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0051015,3,5,actin filament binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0004519,5,5,endonuclease activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0052793,5,5,pectin acetylesterase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0000254,5,5,C-4 methylsterol oxidase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0031267,5,5,small GTPase binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0052692,7,7,raffinose alpha-galactosidase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0030507,3,4,spectrin binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0043168,3,3,anion binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0046983,3,3,protein dimerization activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0003785,5,5,actin monomer binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0031490,4,5,chromatin DNA binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0008195,7,7,phosphatidate phosphatase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0008092,3,3,cytoskeletal protein binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0001729,6,6,ceramide kinase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0005506,6,6,iron ion binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0005543,3,3,phospholipid binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0008574,3,3,plus-end-directed microtubule motor activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0016301,4,4,kinase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0009924,5,5,octadecanal decarbonylase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0016773,4,4,"phosphotransferase activity, alcohol group as acceptor",1,32,1,976704,e,3.2763252707528065e-05
GO:1990465,4,4,aldehyde oxygenase (deformylating) activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0008017,5,5,microtubule binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0003724,3,4,RNA helicase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0097001,3,4,ceramide binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0019903,5,5,protein phosphatase binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0047268,6,6,galactinol-raffinose galactosyltransferase activity,1,32,1,976704,e,3.2763252707528065e-05
GO:0001228,4,4,"DNA-binding transcription activator activity, RNA polymerase II-specific",1,32,1,976704,e,3.2763252707528065e-05
GO:0008289,2,2,lipid binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0008134,3,3,transcription factor binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0043167,2,2,ion binding,1,32,1,976704,e,3.2763252707528065e-05
GO:0000981,3,3,"DNA-binding transcription factor activity, RNA polymerase II-specific",1,32,1,976704,e,3.2763252707528065e-05
GO:0033862,7,8,UMP kinase activity,1,32,1,976704,e,3.2763252707528065e-05
