# <<< RUTIN >>>
# 10x3FoldCV mean score: 0.7485866213502098 
# count common features: 31
count	GO ID	GO Term	namespace
6	GO:0005515	protein binding	molecular_function
4	GO:0042803	protein homodimerization activity	molecular_function
4	GO:0009733	response to auxin	biological_process
3	GO:0045892	negative regulation of DNA-templated transcription	biological_process
3	GO:0009414	response to water deprivation	biological_process
3	GO:0003700	DNA-binding transcription factor activity	molecular_function
3	GO:0045893	positive regulation of DNA-templated transcription	biological_process
3	GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	biological_process
2	GO:0003729	mRNA binding	molecular_function
2	GO:0048481	plant ovule development	biological_process
2	GO:0006096	glycolytic process	biological_process
2	GO:0009734	auxin-activated signaling pathway	biological_process
2	GO:0042542	response to hydrogen peroxide	biological_process
2	GO:0009723	response to ethylene	biological_process
2	GO:0000987	cis-regulatory region sequence-specific DNA binding	molecular_function
2	GO:0009753	response to jasmonic acid	biological_process
2	GO:0009410	response to xenobiotic stimulus	biological_process
2	GO:1905623	positive regulation of leaf development	biological_process
2	GO:0042742	defense response to bacterium	biological_process
2	GO:0002237	response to molecule of bacterial origin	biological_process
2	GO:0009909	regulation of flower development	biological_process
2	GO:0048653	anther development	biological_process
2	GO:0071588	hydrogen peroxide mediated signaling pathway	biological_process
1	GO:0010496	intercellular transport	biological_process
1	GO:0046907	intracellular transport	biological_process
1	GO:0004842	ubiquitin-protein transferase activity	molecular_function
1	GO:0000956	nuclear-transcribed mRNA catabolic process	biological_process
1	GO:0010556	regulation of macromolecule biosynthetic process	biological_process
1	GO:0016567	protein ubiquitination	biological_process
1	GO:0031326	regulation of cellular biosynthetic process	biological_process
1	GO:0051254	positive regulation of RNA metabolic process	biological_process
1	GO:0003735	structural constituent of ribosome	molecular_function
1	GO:0019843	rRNA binding	molecular_function
1	GO:0030599	pectinesterase activity	molecular_function
1	GO:0045330	aspartyl esterase activity	molecular_function
1	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process
1	GO:0002181	cytoplasmic translation	biological_process
1	GO:0042545	cell wall modification	biological_process
1	GO:0045490	pectin catabolic process	biological_process
1	GO:0016757	glycosyltransferase activity	molecular_function
1	GO:0008460	dTDP-glucose 4,6-dehydratase activity	molecular_function
