# <<< RUTIN >>>
# 10x3FoldCV mean score: 0.7485866213502098 
# count common features: 31
count	GO ID	GO Term	namespace
4	GO:0005634	nucleus	cellular_component
3	GO:0005783	endoplasmic reticulum	cellular_component
3	GO:0016021	membrane	cellular_component
3	GO:0016020	membrane	cellular_component
3	GO:0005737	cytoplasm	cellular_component
3	GO:0009507	chloroplast	cellular_component
2	GO:0005576	extracellular region	cellular_component
2	GO:0005829	cytosol	cellular_component
2	GO:0005886	plasma membrane	cellular_component
2	GO:0090575	RNA polymerase II transcription regulator complex	cellular_component
2	GO:0090571	RNA polymerase II transcription repressor complex	cellular_component
1	GO:0009506	plasmodesma	cellular_component
1	GO:0005622	intracellular anatomical structure	cellular_component
1	GO:0030014	CCR4-NOT complex	cellular_component
1	GO:0000228	nuclear chromosome	cellular_component
1	GO:0005730	nucleolus	cellular_component
1	GO:0022627	cytosolic small ribosomal subunit	cellular_component
1	GO:0032580	Golgi cisterna membrane	cellular_component
1	GO:1902494	catalytic complex	cellular_component
1	GO:0005680	anaphase-promoting complex	cellular_component
1	GO:0034399	nuclear periphery	cellular_component
1	GO:0005759	mitochondrial matrix	cellular_component
1	GO:0009570	chloroplast stroma	cellular_component
1	GO:0045254	pyruvate dehydrogenase complex	cellular_component
1	GO:0098798	mitochondrial protein-containing complex	cellular_component
1	GO:0120025	plasma membrane bounded cell projection	cellular_component
1	GO:0005739	mitochondrion	cellular_component
1	GO:0010287	plastoglobule	cellular_component
1	GO:0005794	Golgi apparatus	cellular_component
1	GO:0005789	endoplasmic reticulum membrane	cellular_component
1	GO:0005811	lipid droplet	cellular_component
1	GO:0097038	perinuclear endoplasmic reticulum	cellular_component
1	GO:0009531	secondary cell wall	cellular_component
1	GO:0005802	trans-Golgi network	cellular_component
1	GO:0005938	cell cortex	cellular_component
1	GO:0009524	phragmoplast	cellular_component
1	GO:0009574	preprophase band	cellular_component
1	GO:0009579	thylakoid	cellular_component
1	GO:0005618	cell wall	cellular_component
1	GO:0031012	extracellular matrix	cellular_component
