GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0005769,8,8,early endosome,1,8,1,244176,e,3.276325274079381e-05
GO:0005783,5,5,endoplasmic reticulum,1,8,1,244176,e,3.276325274079381e-05
GO:0005576,2,2,extracellular region,1,8,1,244176,e,3.276325274079381e-05
GO:0043231,4,4,intracellular membrane-bounded organelle,1,8,1,244176,e,3.276325274079381e-05
GO:0005737,2,2,cytoplasm,1,8,1,244176,e,3.276325274079381e-05
GO:0005829,2,2,cytosol,1,8,1,244176,e,3.276325274079381e-05
GO:0005764,7,7,lysosome,1,8,1,244176,e,3.276325274079381e-05
GO:0033565,3,3,ESCRT-0 complex,1,8,1,244176,e,3.276325274079381e-05
GO:0005747,4,6,mitochondrial respiratory chain complex I,1,8,1,244176,e,3.276325274079381e-05
GO:0005794,5,5,Golgi apparatus,1,8,1,244176,e,3.276325274079381e-05
GO:0005618,3,3,cell wall,1,8,1,244176,e,3.276325274079381e-05
GO:0010008,5,6,endosome membrane,1,8,1,244176,e,3.276325274079381e-05
GO:0005774,5,5,vacuolar membrane,1,8,1,244176,e,3.276325274079381e-05
GO:0005634,5,5,nucleus,1,8,1,244176,e,3.276325274079381e-05
GO:0031012,3,3,extracellular matrix,1,8,1,244176,e,3.276325274079381e-05
