GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0016020,2,2,membrane,3,14,3,427308,e,9.727190492129493e-13
GO:0005886,3,3,plasma membrane,3,14,3,427308,e,9.727190492129493e-13
GO:0005634,5,5,nucleus,3,14,3,427308,e,9.727190492129493e-13
GO:0009507,6,6,chloroplast,2,14,2,427308,e,1.979279456025649e-08
GO:0005829,2,2,cytosol,2,14,2,427308,e,1.979279456025649e-08
GO:0005622,2,2,intracellular anatomical structure,1,14,1,427308,e,3.2763252737039967e-05
GO:0005737,2,2,cytoplasm,1,14,1,427308,e,3.2763252737039967e-05
GO:0005788,5,5,endoplasmic reticulum lumen,1,14,1,427308,e,3.2763252737039967e-05
GO:0016607,3,3,nuclear speck,1,14,1,427308,e,3.2763252737039967e-05
GO:0005654,2,2,nucleoplasm,1,14,1,427308,e,3.2763252737039967e-05
GO:0061617,4,4,MICOS complex,1,14,1,427308,e,3.2763252737039967e-05
GO:0005667,2,2,transcription regulator complex,1,14,1,427308,e,3.2763252737039967e-05
GO:0001401,5,5,SAM complex,1,14,1,427308,e,3.2763252737039967e-05
GO:0005794,5,5,Golgi apparatus,1,14,1,427308,e,3.2763252737039967e-05
GO:0000151,3,4,ubiquitin ligase complex,1,14,1,427308,e,3.2763252737039967e-05
GO:0005694,5,5,chromosome,1,14,1,427308,e,3.2763252737039967e-05
