GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0005515,2,2,protein binding,3,14,3,30522,e,2.669384699284449e-09
GO:0005524,5,8,ATP binding,1,14,1,30522,e,0.0004586855383221251
GO:0001671,3,3,ATPase activator activity,1,14,1,30522,e,0.0004586855383221251
GO:0031625,5,5,ubiquitin protein ligase binding,1,14,1,30522,e,0.0004586855383221251
GO:1901683,3,3,arsenate ion transmembrane transporter activity,1,14,1,30522,e,0.0004586855383221251
GO:0008270,6,6,zinc ion binding,1,14,1,30522,e,0.0004586855383221251
GO:0005315,4,5,inorganic phosphate transmembrane transporter activity,1,14,1,30522,e,0.0004586855383221251
GO:0046566,4,4,DOPA dioxygenase activity,1,14,1,30522,e,0.0004586855383221251
GO:0003676,3,3,nucleic acid binding,1,14,1,30522,e,0.0004586855383221251
GO:0005488,1,1,binding,1,14,1,30522,e,0.0004586855383221251
GO:0000978,7,9,RNA polymerase II cis-regulatory region sequence-specific DNA binding,1,14,1,30522,e,0.0004586855383221251
GO:0008198,7,7,ferrous iron binding,1,14,1,30522,e,0.0004586855383221251
GO:0015293,5,5,symporter activity,1,14,1,30522,e,0.0004586855383221251
GO:0070628,3,3,proteasome binding,1,14,1,30522,e,0.0004586855383221251
GO:0030674,2,2,protein-macromolecule adaptor activity,1,14,1,30522,e,0.0004586855383221251
GO:0061631,5,7,ubiquitin conjugating enzyme activity,1,14,1,30522,e,0.0004586855383221251
GO:0003700,2,2,DNA-binding transcription factor activity,1,14,1,30522,e,0.0004586855383221251
GO:0061630,5,7,ubiquitin protein ligase activity,1,14,1,30522,e,0.0004586855383221251
GO:0051087,3,3,protein-folding chaperone binding,1,14,1,30522,e,0.0004586855383221251
GO:0000976,5,7,transcription cis-regulatory region binding,1,14,1,30522,e,0.0004586855383221251
GO:0003677,4,4,DNA binding,1,14,1,30522,e,0.0004586855383221251
GO:0046983,3,3,protein dimerization activity,1,14,1,30522,e,0.0004586855383221251
GO:0043130,4,4,ubiquitin binding,1,14,1,30522,e,0.0004586855383221251
GO:0051082,3,3,unfolded protein binding,1,14,1,30522,e,0.0004586855383221251
GO:0050297,5,5,stizolobate synthase activity,1,14,1,30522,e,0.0004586855383221251
GO:0015114,5,5,phosphate ion transmembrane transporter activity,1,14,1,30522,e,0.0004586855383221251
GO:0000981,3,3,"DNA-binding transcription factor activity, RNA polymerase II-specific",1,14,1,30522,e,0.0004586855383221251
